product_code,product_name,product_description,material,fit_type,available_sizes,original_price(₹),discounted_price(₹),discount_percentage(%),total_ratings,avg_rating_for_five,total_text_reviews,supplier_name,product_image_url,product_link
2169171,Roadster,Men Grey Melange & Black Colourblocked T-shirt,Cotton,Regular Fit,"S,M,L,XL",699,216,69,10700,4.0,1412,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2169171/2019/5/29/cabd0aa5-6067-4ff1-b490-d72a80762fe51559130170714-Roadster-Men-Grey-Melange--Black-Colourblocked-T-shirt-62615-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-grey-melange--black-colourblocked-t-shirt/2169171/buy
11468714,H&M,HM Men White Solid Cotton Pure Cotton T-shirt Regular Fit,Pure Cotton,Regular Fit,"XS,S,M,L,XXL,XL",0,399,Nil,11100,4.2,1079,H & M Hennes & Mauritz Retail Private Limited,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11468714/2022/2/7/cbdd604f-1341-47a9-92c6-2fe6078e89821644231911509-HM-Men-White-Solid-Cotton-Pure-Cotton-T-shirt-Regular-Fit-42-1.jpg",https://www.myntra.com/tshirts/h%26m/hm-men-white-solid-cotton-pure-cotton-t-shirt-regular-fit/11468714/buy
25917016,Force NXT,Pack Of 2 Round Neck Super Combed Cotton Casual T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",878,614,30,not_available,not_available,not_available,DOLLAR INDUSTRIES LTD,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25917016/2023/11/17/8ad17489-4582-459f-8463-0d473ba3d6831700214026752ForceNXTMenMulticoloured2T-shirt1.jpg",https://www.myntra.com/tshirts/force+nxt/force-nxt-pack-of-2-round-neck-super-combed-cotton-casual-t-shirt/25917016/buy
1072681,Roadster,Men Charcoal Melange Graphic Printed T-shirt,Cotton,Regular Fit,"S,M,L,XL",699,230,67,29800,4.1,not_available,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1072681/2020/1/20/9de2d7dc-e239-4327-b7d0-096c80ac3a121579503443912-Roadster-Men-Charcoal-Melange-Printed-Round-Neck-T-shirt-364-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-charcoal-melange-graphic-printed-t-shirt/1072681/buy
12816870,HERE&NOW,HERENOW Men Olive Green Printed Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"S,M,L,XL",599,185,69,2300,4.1,154,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12816870/2021/1/13/63d54c29-a1ee-41fe-ac21-12a3debedae91610535899145-HERENOW-Men-Tshirts-5841610535897035-1.jpg",https://www.myntra.com/tshirts/here%26now/herenow-men-olive-green-printed-round-neck-pure-cotton-t-shirt/12816870/buy
25072178,Stormborn,Graphic Printed Drop Shoulder Sleeves Pure Cotton Oversized T-shirt,Pure Cotton,Oversized,"S,M,L,XXL,XL",999,539,46,688,3.9,31,ELCINCO,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25072178/2023/9/20/c097aded-8dfb-497d-87c0-e0ef5ec5c8761695179114326StormbornMenBrownPrintedPoloCollarPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/stormborn/stormborn-graphic-printed-drop-shoulder-sleeves-pure-cotton-oversized-t-shirt/25072178/buy
22208880,Maniac,Raglan Sleeves Typography Printed Boxy T-shirt,Cotton,Boxy,"S,M,L,XL",1659,547,67,1400,4.2,97,FRISKE KNITS PRIVATE LIMITED,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22208880/2023/3/3/b227c67c-1c43-4161-87c2-a1807a43f7571677825393422ManiacMenPurpleTypographyPrintedBoxyT-shirt1.jpg",https://www.myntra.com/tshirts/maniac/maniac-raglan-sleeves-typography-printed-boxy-t-shirt/22208880/buy
11948298,Roadster,Men Off White Melange Solid Round Neck Regular Sleeves Knitted T-shirt,Cotton,Regular Fit,"XS,S,M,L,XL",499,194,61,9600,4.0,594,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11948298/2022/3/24/ba4a8e4a-8e7b-4bfe-9ea2-fd5693598f931648115076887-Roadster-Men-Grey-Melange-T-shirt-8701648115076447-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-off-white-melange-solid-round-neck-regular-sleeves-knitted-t-shirt/11948298/buy
24426570,Maniac,Colourblocked Raglan Sleeves Pure Cotton T-Shirt,Pure Cotton,Oversized,"S,M,L,XL",1659,597,64,250,4.2,15,FRISKE KNITS PRIVATE LIMITED,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24426570/2023/8/10/a4134ffc-f3a9-4476-b137-c43d6c75e14b1691607588477ManiacMenNavyBlueColourblockedT-shirt1.jpg",https://www.myntra.com/tshirts/maniac/maniac-colourblocked-raglan-sleeves-pure-cotton-t-shirt/24426570/buy
23069400,HRX by Hrithik Roshan,Men Conversational Print T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",899,224,75,16,4.2,not_available,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23069400/2023/7/13/7e9d0a74-a61c-4c25-a86f-97c20a67c12e1689230391827-HRX-by-Hrithik-Roshan-Men-Tshirts-7871689230391471-1.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-conversational-print-t-shirt/23069400/buy
26023480,Elibolz,Naruto Printed Oversized Cotton T-shirt,Cotton,Oversized,"S,M,L,XL",799,499,37,5,3.6,1,ARYAN ENTERPRISES,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26023480/2023/11/24/f4a546ce-543d-411c-8a86-3db9b7b5e6641700813522941ElibolzMenGreenPrintedDrop-ShoulderSleevesT-shirt1.jpg",https://www.myntra.com/tshirts/elibolz/elibolz-naruto-printed-oversized-cotton-t-shirt/26023480/buy
2308267,Roadster,Men Maroon Typography Printed Cotton T-shirt,not_available,Regular Fit,"S,M,L,XL",599,227,62,34900,4.0,3150,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2308267/2018/1/29/11517216335231-Roadster-Men-Maroon-Printed-Round-Neck-T-shirt-5591517216335098-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-maroon-typography-printed-cotton-t-shirt/2308267/buy
21888072,Puma,Men Performance SS Sports T-shirt,Polyester,Regular Fit,"XS,S,M,L,XXL,XL",1499,524,65,103,4.5,4,Puma Sports India Pvt. Ltd.(NSCM),"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/21888072/2023/11/16/2d528b7f-04e5-453d-974d-3abdd73adafd1700131023079PumaMenPerformanceSSSportsT-shirt1.jpg",https://www.myntra.com/tshirts/puma/puma-men-performance-ss-sports-t-shirt/21888072/buy
12956244,Kook N Keech,Men White Teal Blue Striped Round Neck Pure Cotton Relaxed T-shirt,Pure Cotton,Relaxed Fit,"S,M,L,XXL,XL",1099,516,53,2600,4.1,144,Actsfolio International Pvt Ltd,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12956244/2021/4/20/668b68ba-0250-4fcd-a8a0-49bbec71f3591618915179312-Kook-N-Keech-Men-Tshirts-971618915178743-1.jpg",https://www.myntra.com/tshirts/kook+n+keech/kook-n-keech-men-white--teal-blue-striped-round-neck-pure-cotton-relaxed-t-shirt/12956244/buy
9793511,Roadster,Men Black Pure Cotton T-shirt,Pure Cotton,Regular Fit,"XS,S,M,L,XL",599,239,60,26900,4.2,not_available,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9793511/2019/6/15/37ac1de4-2d8c-4e18-a431-a89cdf4695dd1560580175558-Roadster-Men-Black-Solid-Round-Neck-T-shirt-8361560580174560-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-black-pure-cotton-t-shirt/9793511/buy
25916924,Force NXT,Pack of 2 Super Combed Cotton T-Shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",878,614,30,not_available,not_available,not_available,DOLLAR INDUSTRIES LTD,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25916924/2023/11/17/b9349409-8435-4f8c-8dae-bf814057b74d1700215269075ForceNXTMenMulticoloured2T-shirt1.jpg",https://www.myntra.com/tshirts/force+nxt/force-nxt---pack-of-2-super-combed-cotton-t-shirt/25916924/buy
11148764,Huetrap,Men Beige & Black Typography Printed Sustainable T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",1099,340,69,25900,4.0,1926,HUETRAP CLOTHING - SJIT,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2019/12/12/1aab2a18-6774-4f83-b292-fe301755a3351576102551329-1.jpg",https://www.myntra.com/tshirts/huetrap/huetrap-men-beige--black-typography-printed-sustainable-t-shirt/11148764/buy
25910218,HRX by Hrithik Roshan,Men Solid High Neck T-shirt,Polyester,Regular Fit,"S,M,L,XXL,XL",1199,539,55,164,4.3,17,ANKITA IMPEX,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25910218/2023/11/21/b5db1211-6eda-40bc-af33-f03866b9a0c21700559371570-HRX-by-Hrithik-Roshan-Men-Tshirts-3091700559371106-1.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-solid-high-neck-t-shirt/25910218/buy
25856032,HERE&NOW,Men Printed T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",1399,446,68,not_available,not_available,not_available,KANAV APPARELS,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25856032/2023/11/23/55d9979d-763a-48bd-b368-6425e923167b1700710403180-HERENOW-Men-Tshirts-9171700710402776-1.jpg",https://www.myntra.com/tshirts/here%26now/herenow-men-printed-t-shirt/25856032/buy
22256046,Kook N Keech,Typography Printed Drop-Shoulder Sleeves Oversize T-shirt,Cotton,Oversized,"S,M,L,XXL,XL",999,399,60,1100,4.1,57,AHP APPAREL PRIVATE LIMITED,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22256046/2023/3/16/42422d49-71c5-4eb0-bbbf-d86c079cbdde1678940319370-Kook-N-Keech-Men-Tshirts-8451678940318958-1.jpg",https://www.myntra.com/tshirts/kook+n+keech/kook-n-keech-typography-printed-drop-shoulder-sleeves-oversize-t-shirt/22256046/buy
10938560,Roadster,The Lifestyle Co Men Teal Green Mustard Yellow Brand Carrier Printed Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"XS,S,M,L,XL",699,216,69,1100,4.1,145,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10938560/2020/1/6/e866f5de-c3d6-49a7-95ea-7988708189af1578295631830-Roadster-Men-Tshirts-5081578295630219-1.jpg",https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-teal-green--mustard-yellow-brand-carrier-printed-round-neck-pure-cotton-t-shirt/10938560/buy
25985036,Bloopers Store,Rabbit Printed Pure Cotton Longline Oversized T-shirt,Cotton,Oversized,"XS,S,M,L,XXL,XL",999,729,27,not_available,not_available,not_available,BLOOPERS,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25985036/2023/11/22/2fede7ed-e5d1-4afe-9a75-4dea1106c4701700640233610BloopersStoreMenOrangePrintedDrop-ShoulderSleevesT-shirt1.jpg",https://www.myntra.com/tshirts/bloopers+store/bloopers-store-rabbit-printed-pure-cotton-longline-oversized-t-shirt/25985036/buy
15785626,Harvard,Men Black Solid T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",598,173,71,685,3.8,26,Indiflashmart,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15785626/2021/11/9/fa61c911-6eef-4003-b5fe-3218632261be1636453365037NikeIndyWomensLight-SupportPaddedV-NeckSportsBraTshirtsHarva5.jpg",https://www.myntra.com/tshirts/harvard/harvard-men-black-solid-t-shirt/15785626/buy
18239090,HERE&NOW,Men Black Print Detail T-shirt,Cotton,Regular Fit,"S,M,L,XL",599,179,70,576,4.1,29,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18239090/2022/8/24/a2de5a20-e713-4b9b-aa94-f5641b43c3741661316380784-HERENOW-Men-Tshirts-3331661316380278-1.jpg",https://www.myntra.com/tshirts/here%26now/herenow-men-black-print-detail-t-shirt/18239090/buy
10938420,Roadster,Men Teal Blue Dyed Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"XS,S,M,L,XL",899,278,69,4300,3.9,545,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10938420/2022/7/4/df87620f-ab3b-4dc3-af54-3f602e1868571656923338023-Roadster-Men-Teal-Blue-Dyed-Round-Neck-Pure-Cotton-T-shirt-9-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-teal-blue-dyed-round-neck-pure-cotton-t-shirt/10938420/buy
22846594,H&M,Men Relaxed Fit Printed Cotton T-shirt,Cotton,Relaxed Fit,"XS,S,M,L,XXL,XL",0,799,Nil,161,4.4,6,H & M Hennes & Mauritz Retail Private Limited,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22846594/2023/4/21/62dde47b-3057-4406-92e1-f6f488fa822e1682054195888RelaxedFitPrintedT-shirt1.jpg",https://www.myntra.com/tshirts/h%26m/hm-men-relaxed-fit-printed-cotton-t-shirt/22846594/buy
11545114,Roadster,Men Black High-Low Cotton T-shirt,Cotton,Regular Fit,"XS,S,M,L,XL",999,379,62,2100,4.2,141,KAPOOR COTSYN EXPORTS,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11545114/2020/11/9/a833ec77-37ef-405d-8bd2-3ab4da2fe5851604917021688-Roadster-Men-Tshirts-4071604917019556-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-black-high-low-cotton-t-shirt/11545114/buy
9918335,U.S. Polo Assn.,Men Charcoal Grey Solid Pure Cotton Lounge T-Shirt,Cotton,not_available,"XXL,XL",699,594,15,32,4.1,2,Supercom Net,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/9918335/2023/4/14/1442462c-e71d-4274-a21b-ab1cf6ca429d1681472869628-US-Polo-Assn-Men-Charcoal-Grey-Solid-Pure-Cotton-Lounge-T-Sh-1.jpg",https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-men-charcoal-grey-solid-pure-cotton-lounge-t-shirt/9918335/buy
1996785,Roadster,Men White Solid Slub Effect Raw Edge Round Neck Pure Cotton T-shirt,Cotton,Regular Fit,"S,M,L,XL",599,227,62,2500,4.0,231,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996785/2021/12/14/62ba8a9f-0de4-4833-91f7-43be1a28d0101639475710185-Roadster-Men-White-Solid-Slub-Effect-Raw-Edge-Round-Neck-T-s-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-white-solid-slub-effect-raw-edge-round-neck-pure-cotton-t-shirt/1996785/buy
18391074,XYXX,Men Black N9 Silver Finish Solid Lounge T-shirts,Cotton,not_available,"S,M,L,XL",599,353,41,327,4.5,70,XYXX APPARELS PRIVATE LIMITED,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/18391074/2023/8/26/fd09e96a-2a92-46a2-a9a3-7fe7af3a0aa01693035546215-XYXX-Men-Black-N9-Silver-Finish-Solid-Lounge-T-shirts-282169-1.jpg",https://www.myntra.com/lounge-tshirts/xyxx/xyxx-men-black-n9-silver-finish-solid-lounge-t-shirts/18391074/buy
24084742,Mast & Harbour,Printed Drop-Shoulder Sleeves T-shirt,Cotton,Regular Fit,"XS,S,M,L,XL",799,231,71,12,3.9,not_available,Truecom Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24084742/2023/10/30/9c5599b1-a468-4257-942e-355555f41d3e1698650796583-Mast--Harbour-Men-Tshirts-551698650796332-1.jpg",https://www.myntra.com/tshirts/mast+%26+harbour/mast--harbour-printed-drop-shoulder-sleeves-t-shirt/24084742/buy
1996777,Roadster,Men Black Cotton Pure Cotton T-shirt,Pure Cotton,Regular Fit,"S,M,L,XXL,XL",399,247,38,35400,4.2,3121,AHP APPAREL PRIVATE LIMITED - SJIT,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1996777/2022/11/22/336445a8-fa32-4396-914a-2629b49465d31669112704759RoadsterMenBlackCottonPureCottonT-shirt1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-black-cotton-pure-cotton-t-shirt/1996777/buy
1708412,Roadster,Men Black Solid T-shirt,Cotton,Regular Fit,"S,M,L,XL",899,269,70,1900,4.0,174,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1708412/2017/2/21/11487678768914-Roadster-Men-Black-Solid-Round-Neck-T-Shirt-2001487678768601-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-black-solid-t-shirt/1708412/buy
25916922,Force NXT,Pack Of 2 Round Neck Super Combed Cotton Casual T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",878,614,30,not_available,not_available,not_available,DOLLAR INDUSTRIES LTD,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25916922/2023/11/17/da1e0d0d-799c-4a72-9ddc-2793bf01cc1e1700215272631ForceNXTMenMulticoloured2T-shirt1.jpg",https://www.myntra.com/tshirts/force+nxt/force-nxt-pack-of-2-round-neck-super-combed-cotton-casual-t-shirt/25916922/buy
23014214,HRX by Hrithik Roshan,Rapid-Dry Printed Training T-shirt,Polyester,Regular Fit,"S,M,L,XXL,XL",699,209,70,10,4.7,1,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23014214/2023/10/27/83ba8f83-c711-4f39-9709-05a29181429b1698400810770-HRX-by-Hrithik-Roshan-Men-Tshirts-2591698400810462-1.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-rapid-dry-printed-training-t-shirt/23014214/buy
15785632,Harvard,Men Charcoal Grey Melange Effect T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",598,179,70,472,4.0,17,Indiflashmart,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15785632/2021/11/9/4f582b70-11b4-44f5-9f4f-ab3da63186121636453363903NikeIndyWomensLight-SupportPaddedV-NeckSportsBraTshirtsHarva5.jpg",https://www.myntra.com/tshirts/harvard/harvard-men-charcoal-grey-melange-effect-t-shirt/15785632/buy
12504566,Roadster,Men White Mustard Yellow Colourblocked Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"XS,S,M,L,XL",999,299,70,3200,4.2,218,Truenet Commerce,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12504566/2021/2/15/061da36d-d662-4fe6-9b1d-5b7377e785f11613373061587-Roadster-Men-Tshirts-3551613373060033-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-white--mustard-yellow-colourblocked-round-neck-pure-cotton-t-shirt/12504566/buy
3009070,Roadster,Men Maroon Solid Polo Collar T-shirt,Cotton,Regular Fit,"XS,S,M,L,XL",999,389,61,7300,4.1,490,KAPOOR COTSYN EXPORTS,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/3009070/2018/5/31/f48fa8e4-ee70-4118-8a1d-a898037036bc1527767035968-Roadster-Men-Tshirts-1311527767034405-1.jpg",https://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-polo-collar-t-shirt/3009070/buy
20963310,Kryptic,Men White & Blue Printed Polo Collar Pure Cotton T-shirt,Cotton,Regular Fit,"M,L,XL",1499,509,66,498,4.3,36,BRAND FORTUNES - SJIT,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20963310/2022/11/29/284f5460-7301-4a15-8053-0ff6fa8d924a1669690173755KrypticMenWhitePrintedPoloCollarTropicalAppliqueT-shirt1.jpg",https://www.myntra.com/tshirts/kryptic/kryptic-men-white--blue-printed-polo-collar-pure-cotton-t-shirt/20963310/buy
23559418,HRX by Hrithik Roshan,Solid Rapid-Dry Training T-shirt,Polyester,Regular Fit,"S,M,L,XXL,XL",899,269,70,11,4.7,1,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23559418/2023/11/9/d5ed28e0-ff1f-4ecd-aece-cdbe5e7e24961699508970910-HRX-by-Hrithik-Roshan-Men-Tshirts-1651699508970507-1.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-solid-rapid-dry-training-t-shirt/23559418/buy
13819100,Bewakoof,Men White Solid Round Neck Pure Cotton T-shirt,Pure Cotton,Regular Fit,"S,M,L,XXL,XL",1199,499,58,3200,4.1,198,Bewakoof Brands Private Limited,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13819100/2021/4/7/74b77cbe-b7ee-4c7c-977a-5b8ff51379131617788592510-Bewakoof-Men-Tshirts-611617788591720-1.jpg",https://www.myntra.com/tshirts/bewakoof/bewakoof-men-white-solid-round-neck-pure-cotton-t-shirt/13819100/buy
25181308,Rigo,Self Design High Neck Cotton T-shirt,Cotton,Regular Fit,"S,M,L,XXL,XL",1399,629,55,45,4.2,4,Rigo International,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25181308/2023/10/4/fb287029-056c-40a8-b2f9-0201e4905dd61696415463037RigoMenBlackHighNeckPocketsT-shirt1.jpg",https://www.myntra.com/tshirts/rigo/rigo-self-design-high-neck-cotton-t-shirt/25181308/buy
24083042,HRX by Hrithik Roshan,Typography Printed Reflective Detailed Rapid-Dry Running T-shirt,Polyester,Regular Fit,"S,M,L,XXL,XL",899,269,70,not_available,not_available,not_available,Omnitech Retail,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24083042/2023/12/14/aa711895-d66b-40c1-9df0-edceded148671702553130166HRXbyHrithikRoshanTypographyPrintedReflectiveDetailedRapid-D1.jpg",https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-typography-printed-reflective-detailed-rapid-dry-running-t-shirt/24083042/buy
